ISBN,Book-Title,Book-Author,Year-Of-Publication,Image-URL-L
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0385504209,The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
0151008116,Life of Pi,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
0345417623,Timeline,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0671027360,Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
0446610038,1st to Die: A Novel,James Patterson,2002,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
0446605239,The Notebook,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg
0345337662,Interview with the Vampire,Anne Rice,1993,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
0330332775,Bridget Jones's Diary,Helen Fielding,1997,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
0440241073,The Summons,John Grisham,2002,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg
0385324057,Summer Sisters,Judy Blume,1998,http://images.amazon.com/images/P/0385324057.01.LZZZZZZZ.jpg
0151001006,Snow Falling on Cedars,David Guterson,1994,http://images.amazon.com/images/P/0151001006.01.LZZZZZZZ.jpg
044023722X,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
0440234743,The Testament,John Grisham,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg
0440211727,A Time to Kill,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
0385416342,The Firm,John Grisham,1991,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg
0804106304,The Joy Luck Club,Amy Tan,1994,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
0375727345,House of Sand and Fog,Andre Dubus III,2000,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg
0385424728,The Chamber,John Grisham,1994,http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg
044022165X,The Rainmaker,JOHN GRISHAM,1996,http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg
0440221471,The Runaway Jury,JOHN GRISHAM,1997,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,1999,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
0385497466,The Brethren,JOHN GRISHAM,2000,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
0440222656,The Horse Whisperer,Nicholas Evans,1996,http://images.amazon.com/images/P/0440222656.01.LZZZZZZZ.jpg
0440214041,The Pelican Brief,John Grisham,1993,http://images.amazon.com/images/P/0440214041.01.LZZZZZZZ.jpg
0971880107,Wild Animus,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
